,Coin name,link,description_list
0,OpenANX,https://coinranking.com/coin/GPtUqoc-nl-aA+openanx-oax,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
1,TOMI,https://coinranking.com/coin/1AOhZH6Wr+tomi-tomi,"TL;DR: TOMI is a Web3 platform empowering individuals with technology to promote and protect their digital rights, prioritizing privacy, anti-censorship, and freedom of speech."
2,DREP,https://coinranking.com/coin/Y6tLhd95EZQE+drep-drep,DREP is building blockchain-based connectors & toolkits to create an open data ecosystem & enable one-click integration of DApps.
3,Mirror Finance,https://coinranking.com/coin/R1Buw5eu2+mirrorfinance-mir,"MIR token enables 24/7 equities trading by minting synthetic versions of real world assets, and allows users to propose and vote on changes to the protocol."
4,REI Network,https://coinranking.com/coin/4vjXnsJWN+reinetwork-rei,"REI Network was created to adjust the improvement pattern of the blockchain, and to accomplish a lightweight, Ethereum viable, better execution, and no expense blockchain system."
5,Wrapped Ether,https://coinranking.com/coin/Mtfb0obXVh59u+wrappedether-weth,WETH (Wrapped Ethereum) is a token that represents an ERC-20 version of ETH on the Ethereum blockchain. Every WETH is 1:1 backed by real ETH.
6,BitForex Token,https://coinranking.com/coin/2nh5ugplNocUp+bitforextoken-bf,"BitForex Token (BF) is the native token of the BitForex ecosystem, offering trading bonuses, access to events, and premium airdrops."
7,Hifi Finance,https://coinranking.com/coin/eY5kANx7k+hififinance-hifi,The project is a collection of exciting new projects and partnerships that build upon and integrate into Hifi's lending protocol.
8,Baby Doge Coin,https://coinranking.com/coin/JY1_q2c0g+babydogecoin-babydoge,"Baby Doge Coin is a new crypto with improved transaction speeds, adorableness and hyper-deflationary static reflection that rewards holders."
9,REVV,https://coinranking.com/coin/OMVdNqHmh+revv-revv,"REVV is an ERC-20 utility token designed to be the currency of purchase, utility, and action in supported play-to-earn motorsport blockchain games."
10,BlockBank,https://coinranking.com/coin/OvXm3l5M7+blockbank-bbank,BlockBank plans to combine DeFi and CeFi with AI to provide customers with improved financial services.
11,Origin protocol,https://coinranking.com/coin/IdrU0Gp2cK+originprotocol-ogn,"\nOrigin is a fully distributed team providing lower fees, better incentives, increased access, and more resilience to decentralized commerce and finance."
12,Safemoon V2,https://coinranking.com/coin/ychMzX07D+safemoonv2-sfm,Safemoon V2 is a new DeFi token that offers holders rewards for staking and liquidity mining.
13,Lovely Inu,https://coinranking.com/coin/2_kBJoo_-+lovelyinu-lovely,LOVELY Token vision to make the record by growing token price. LOVELY is a utility token and a decentralized meme token
14,Rainmaker Games,https://coinranking.com/coin/L7OX-iic0+rainmakergames-rain,"Rainmaker Games is a platform that allows gamers to switch between games, train, learn, manage profits, visit, and get Guild Verified."
15,Flamingo,https://coinranking.com/coin/lHw_McGnP+flamingo-flm,Flamingo is a decentralized finance platform in view of the Neo blockchain and the Poly Network interoperability protocol. It joins a few DeFi applications into a solitary environment.
16,Seedify.fund,https://coinranking.com/coin/HJnwPbzqP7+seedifyfund-sfund,"Seedify.fund is a blockchain gaming hatchery and platform that provides funding, community, and support to innovators."
17,Tokenlon,https://coinranking.com/coin/pvpvPqRqL+tokenlon-lon,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
