Name,Category,Indicator,Description
Nest Protocol,Onchain,Trading Volume,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Offchain,Market Sentiment,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Onchain,Token Circulation,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Offchain,Partnerships and Integrations,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Onchain,Token Distribution,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Offchain,Regulatory Developments,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Onchain,Smart Contract Activity,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Offchain,Market Trends,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Onchain,Network Hashrate,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Nest Protocol,Offchain,Trading Patterns,NEST protocol (NEST) is a distributed price oracle network that aims to solve the problem of price on-chain through a decentralized incentive scheme.
Burger Swap,Onchain,Trading Volume,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
Burger Swap,Offchain,Social Media Sentiment,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
Burger Swap,Onchain,Token Velocity,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
Burger Swap,Offchain,News and Media Coverage,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
Burger Swap,Onchain,Whale Transactions,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
Burger Swap,Offchain,Exchange Listings,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
Burger Swap,Onchain,Token Age Consumed,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
Burger Swap,Offchain,Market Capitalization,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
Burger Swap,Onchain,Network Hashrate,"BurgerSwap is a cross-chain aggregator that consolidates CEXs, DEXs, and DeFi deals into one platform"
